Year Group,Subject,TA Name
Y7,Tutor time,
Y7,Sports,
Y7,Maths,
Y7,Spanish,
Y7,Science,
Y7,English,
Y7,PSHE,
Y7,Art,
Y7,Humanities,
Y7,Drama,
Y7,Digital Design,
Y7,Assembly,
Y7,Forest School,
Y7,Project Farm,
Y7,Review,
Y7,Music,
Y8,Tutor time,
Y8,Sports,
Y8,Spanish,
Y8,Maths,
Y8,English,
Y8,PSHE,
Y8,Humanities,
Y8,Art,
Y8,Digital Design,
Y8,Drama,
Y8,Science,
Y8,Assembly,
Y8,Forest School,
Y8,Project Farm,
Y8,Music,
Y8,Review,
Y8Q,Tutor time,
Y8Q,Independent Study,
Y8Q,English,
Y8Q,Maths,
Y8Q,Art,
Y8Q,PSHE,
Y8Q,Humanities,
Y8Q,Science,
Y8Q,Digital Design,
Y8Q,Sports,
Y8Q,Assembly,
Y8Q,Forest School,
Y8Q,Social Time,
Y8Q,Music,
Y8Q,Activities Q,
Y9G,Tutor time,
Y9G,PSHE,
Y9G,Humanities,
Y9G,Science,
Y9G,Maths,
Y9G,Sports,
Y9G,Drama,
Y9G,English,
Y9G,Digital Design,
Y9G,Art,
Y9G,Assembly,
Y9G,Music,
Y9G,Languages,
Y9G,Future Focus,
Y9B,Tutor time,
Y9B,Science,
Y9B,PSHE,
Y9B,Spanish,
Y9B,Sports,
Y9B,Drama,
Y9B,Humanities,
Y9B,English,
Y9B,Maths,
Y9B,Digital Design,
Y9B,Art,
Y9B,Assembly,
Y9B,Music,
Y9B,Future Focus,
Y10M,Tutor time,
Y10M,Maths,
Y10M,English,
Y10M,Humanities,
Y10M,Sports,
Y10M,Science,
Y10M,Languages,
Y10M,Sports Science,
Y10M,PSHE,
Y10M,Leadership,
Y10M,Assembly,
Y10M,Art,
Y10M,Personal Project,
Y10M,Digital Design,
Y10M,Drama,
Y10M,Future Focus,
Y10I,Tutor time,
Y10I,Science,
Y10I,English,
Y10I,Humanities,
Y10I,Sports,
Y10I,Maths,
Y10I,Languages,
Y10I,Sports Science,
Y10I,Leadership,
Y10I,Assembly,
Y10I,Personal Project,
Y10I,PSHE,
Y10I,Drama,
Y10I,English iGCSE,
Y10I,Future Focus,
Y10Q,Tutor time,
Y10Q,Independent Study,
Y10Q,Science,
Y10Q,English,
Y10Q,Maths,
Y10Q,Sports,
Y10Q,HPQ,
Y10Q,PSHE,
Y10Q,Greenhouse Project,
Y10Q,Assembly,
Y10Q,History,
Y10Q,Social Time,
Y10Q,Group Mentoring,
Y10Q,Review,
Y11,Tutor time,
Y11,Sports Science,
Y11,Maths,
Y11,Science,
Y11,Humanities,
Y11,Spanish,
Y11,English,
Y11,Sports,
Y11,PSHE,Hannah
Y11,Leadership,
Y11,Assembly,
Y11,Drama,
Y11,IDU,
,Drama,Razz
,English,Becks
,Activities Q,Becks
,Independent Study,Becks
Y10Q,,Abby
Y8Q,,Abby
Y7,,Abby
,PSHE,Hannah
Y7,Drama,Lucia
Y8,Drama,Lucia
